Date,Adj Close,Rtn,Scaled rtns,,Mean,-4.84162E-05,,,Count,4976
2005/1/13,1.881008,-0.005134563,-0.842979229,,,,,,,
2005/1/14,1.870592,-0.005537457,-0.909754939,,,,,,,
2005/1/17,1.857286,-0.007113256,-1.17092837,,,,,,,
2005/1/18,1.863308,0.003242365,0.545415002,,,,,,,
2005/1/19,1.870907,0.004078231,0.683951529,,,,,,,
2005/1/20,1.870592,-0.000168368,-0.019880759,,,,,,,
2005/1/21,1.877194,0.003529364,0.592982206,,,,,,,
2005/1/24,1.878887,0.000901878,0.157502012,,,,,,,
2005/1/25,1.864315,-0.007755655,-1.277399781,,,,,,,
2005/1/26,1.882105,0.009542379,1.589580828,,,,,,,
2005/1/27,1.891003,0.004727685,0.791592278,,,,,,,
2005/1/28,1.888788,-0.001171336,-0.186113018,,,,,,,
2005/1/31,1.884197,-0.002430659,-0.394833564,,,,,,,
2005/2/1,1.88331,-0.000470758,-0.06999896,,,,,,,
2005/2/2,1.884694,0.000734876,0.129823116,,,,,,,
2005/2/3,1.882388,-0.001223541,-0.194765445,,,,,,,
2005/2/4,1.873291,-0.004832691,-0.792946963,,,,,,,
2005/2/7,1.858011,-0.008156768,-1.343880288,,,,,,,
2005/2/8,1.853912,-0.002206123,-0.357618799,,,,,,,
2005/2/9,1.859185,0.002844256,0.479432207,,,,,,,
2005/2/10,1.868111,0.004801028,0.803748196,,,,,,,
2005/2/11,1.869893,0.000953905,0.166124941,,,,,,,
2005/2/14,1.887184,0.009247053,1.540633478,,,,,,,
2005/2/15,1.895303,0.004302177,0.721068471,,,,,,,
2005/2/16,1.884197,-0.005859749,-0.963171791,,,,,,,
2005/2/17,1.895016,0.005741969,0.959699863,,,,,,,
2005/2/18,1.894513,-0.000265433,-0.035968433,,,,,,,
2005/2/21,1.896813,0.001214032,0.209238546,,,,,,,
2005/2/22,1.911205,0.007587464,1.265572713,,,,,,,
2005/2/23,1.906396,-0.002516214,-0.409013365,,,,,,,
2005/2/24,1.907487,0.000572284,0.102875022,,,,,,,
2005/2/25,1.919607,0.00635391,1.061123125,,,,,,,
2005/2/28,1.919202,-0.000210981,-0.026943473,,,,,,,
2005/3/1,1.918686,-0.000268862,-0.036536695,,,,,,,
2005/3/2,1.913107,-0.002907719,-0.473901594,,,,,,,
2005/3/3,1.906905,-0.003241847,-0.529280015,,,,,,,
